3*R,4*R,5*R,6.25*R,7*R,8*R,9*R,10*R,WAVE,HJD,ID
13.972,13.807,13.727,13.683,13.661,13.654,13.651,13.628,B,2022-4-16T15:39:57,1
15.271,15.088,15.065,15.041,14.991,15.025,15.013,15.048,B,2022-4-16T15:39:57,2
15.598,15.394,15.328,15.301,15.258,15.23,15.253,15.317,B,2022-4-16T15:39:57,3
14.715,14.536,14.452,14.425,14.42,14.398,14.428,14.424,B,2022-4-16T15:39:57,4
13.885,13.768,13.711,13.688,13.676,13.683,13.673,13.669,B,2022-4-16T15:43:36,1
15.171,15.029,15.001,14.949,14.911,14.911,14.877,14.864,B,2022-4-16T15:43:36,2
15.601,15.443,15.373,15.313,15.327,15.316,15.374,15.425,B,2022-4-16T15:43:36,3
14.658,14.518,14.495,14.475,14.468,14.497,14.442,14.433,B,2022-4-16T15:43:36,4
13.869,13.76,13.71,13.695,13.694,13.694,13.694,13.702,B,2022-4-16T15:47:12,1
15.198,15.113,15.064,15.091,15.105,15.062,15.065,15.072,B,2022-4-16T15:47:12,2
15.588,15.544,15.541,15.477,15.488,15.503,15.539,15.568,B,2022-4-16T15:47:12,3
14.593,14.49,14.459,14.433,14.432,14.405,14.424,14.42,B,2022-4-16T15:47:12,4
13.814,13.714,13.682,13.672,13.67,13.675,13.685,13.682,B,2022-4-16T15:51:22,1
15.134,15.045,14.988,14.927,14.905,14.865,14.885,14.869,B,2022-4-16T15:51:22,2
15.494,15.405,15.358,15.327,15.272,15.257,15.234,15.252,B,2022-4-16T15:51:22,3
14.579,14.492,14.446,14.393,14.357,14.325,14.317,14.302,B,2022-4-16T15:51:22,4
13.804,13.717,13.687,13.654,13.647,13.643,13.649,13.666,B,2022-4-16T15:55:7,1
15.181,15.065,15.097,15.099,15.103,15.127,15.108,15.16,B,2022-4-16T15:55:7,2
15.414,15.315,15.309,15.285,15.317,15.273,15.236,15.188,B,2022-4-16T15:55:7,3
14.534,14.47,14.412,14.419,14.422,14.39,14.39,14.391,B,2022-4-16T15:55:7,4
13.753,13.677,13.661,13.644,13.639,13.631,13.628,13.62,B,2022-4-16T15:59:35,1
15.138,15.039,15.01,15.017,15.013,15.029,15.01,14.965,B,2022-4-16T15:59:35,2
15.429,15.345,15.224,15.131,15.124,15.053,15.022,15.031,B,2022-4-16T15:59:35,3
14.506,14.435,14.436,14.422,14.42,14.393,14.377,14.368,B,2022-4-16T15:59:35,4
13.791,13.714,13.691,13.675,13.671,13.662,13.671,13.688,B,2022-4-16T16:4:1,1
15.079,15.007,14.995,14.988,14.977,14.992,14.984,14.983,B,2022-4-16T16:4:1,2
15.386,15.33,15.302,15.271,15.258,15.264,15.226,15.232,B,2022-4-16T16:4:1,3
14.463,14.388,14.377,14.35,14.327,14.322,14.303,14.287,B,2022-4-16T16:4:1,4
13.784,13.713,13.685,13.678,13.674,13.664,13.658,13.656,B,2022-4-16T16:8:38,1
15.134,15.032,15.002,14.935,14.932,14.926,14.92,14.91,B,2022-4-16T16:8:38,2
15.436,15.332,15.366,15.339,15.311,15.309,15.348,15.367,B,2022-4-16T16:8:38,3
14.477,14.393,14.359,14.324,14.331,14.324,14.307,14.303,B,2022-4-16T16:8:38,4
13.775,13.708,13.69,13.685,13.668,13.675,13.676,13.681,B,2022-4-16T16:11:47,1
15.086,14.995,14.983,14.976,14.961,14.948,14.972,14.975,B,2022-4-16T16:11:47,2
15.405,15.316,15.251,15.224,15.255,15.268,15.296,15.268,B,2022-4-16T16:11:47,3
14.459,14.387,14.344,14.317,14.284,14.274,14.243,14.228,B,2022-4-16T16:11:47,4
13.762,13.69,13.676,13.669,13.677,13.674,13.663,13.673,B,2022-4-16T16:14:57,1
15.07,15.014,15.015,15.011,15.029,14.994,14.995,15.007,B,2022-4-16T16:14:57,2
15.447,15.448,15.501,15.513,15.539,15.503,15.411,15.501,B,2022-4-16T16:14:57,3
14.479,14.401,14.371,14.372,14.348,14.325,14.302,14.318,B,2022-4-16T16:14:57,4
13.724,13.664,13.645,13.644,13.645,13.65,13.654,13.663,B,2022-4-16T16:18:49,1
15.087,15.054,15.042,15.008,14.995,14.98,15.007,15.033,B,2022-4-16T16:18:49,2
15.37,15.295,15.289,15.292,15.289,15.312,15.323,15.291,B,2022-4-16T16:18:49,3
14.494,14.437,14.426,14.41,14.409,14.391,14.379,14.349,B,2022-4-16T16:18:49,4
13.741,13.669,13.646,13.643,13.632,13.637,13.628,13.65,B,2022-4-16T16:22:13,1
15.039,14.943,14.91,14.894,14.891,14.923,14.953,14.979,B,2022-4-16T16:22:13,2
15.489,15.452,15.43,15.397,15.39,15.372,15.364,15.291,B,2022-4-16T16:22:13,3
14.478,14.405,14.371,14.363,14.341,14.34,14.274,14.265,B,2022-4-16T16:22:13,4
13.756,13.662,13.626,13.617,13.612,13.606,13.605,13.61,B,2022-4-16T16:25:45,1
15.061,15.002,14.962,14.986,14.996,15.022,14.981,14.943,B,2022-4-16T16:25:45,2
15.433,15.398,15.396,15.408,15.416,15.321,15.349,15.367,B,2022-4-16T16:25:45,3
14.479,14.391,14.341,14.301,14.282,14.256,14.266,14.252,B,2022-4-16T16:25:45,4
13.699,13.651,13.63,13.625,13.604,13.599,13.599,13.616,B,2022-4-16T16:29:10,1
15.017,14.966,14.971,14.944,14.949,14.971,15.002,15.032,B,2022-4-16T16:29:10,2
15.356,15.316,15.298,15.297,15.231,15.191,15.177,15.164,B,2022-4-16T16:29:10,3
14.388,14.33,14.302,14.278,14.252,14.251,14.253,14.258,B,2022-4-16T16:29:10,4
13.708,13.653,13.628,13.616,13.608,13.607,13.596,13.572,B,2022-4-16T16:32:47,1
15.003,14.942,14.91,14.933,14.912,14.857,14.807,14.775,B,2022-4-16T16:32:47,2
15.344,15.268,15.253,15.288,15.285,15.33,15.359,15.402,B,2022-4-16T16:32:47,3
14.384,14.301,14.272,14.234,14.22,14.188,14.174,14.173,B,2022-4-16T16:32:47,4
13.771,13.696,13.673,13.637,13.631,13.623,13.626,13.638,B,2022-4-16T16:37:8,1
15.042,14.945,14.909,14.843,14.831,14.794,14.753,14.745,B,2022-4-16T16:37:8,2
15.322,15.279,15.273,15.297,15.313,15.256,15.295,15.307,B,2022-4-16T16:37:8,3
14.436,14.361,14.327,14.287,14.281,14.263,14.256,14.222,B,2022-4-16T16:37:8,4
13.739,13.685,13.653,13.647,13.638,13.631,13.62,13.625,B,2022-4-16T16:40:18,1
15.016,14.954,14.935,14.944,14.939,14.905,14.884,14.877,B,2022-4-16T16:40:18,2
15.282,15.244,15.21,15.23,15.2,15.176,15.212,15.197,B,2022-4-16T16:40:18,3
14.417,14.379,14.36,14.334,14.315,14.323,14.306,14.284,B,2022-4-16T16:40:18,4
13.735,13.667,13.657,13.649,13.647,13.645,13.643,13.634,B,2022-4-16T16:43:53,1
15.001,14.939,14.899,14.832,14.81,14.829,14.839,14.881,B,2022-4-16T16:43:53,2
15.327,15.263,15.299,15.322,15.296,15.26,15.246,15.219,B,2022-4-16T16:43:53,3
14.383,14.314,14.297,14.259,14.26,14.254,14.268,14.288,B,2022-4-16T16:43:53,4
13.75,13.675,13.64,13.624,13.625,13.625,13.619,13.624,B,2022-4-16T16:48:21,1
15.049,14.977,14.96,14.972,14.955,15.021,15.067,15.087,B,2022-4-16T16:48:21,2
15.348,15.251,15.257,15.206,15.229,15.304,15.271,15.423,B,2022-4-16T16:48:21,3
14.389,14.314,14.28,14.28,14.258,14.262,14.268,14.276,B,2022-4-16T16:48:21,4
13.71,13.646,13.621,13.611,13.615,13.607,13.592,13.606,B,2022-4-16T16:52:33,1
15.057,15.004,14.946,14.925,14.89,14.918,14.896,14.899,B,2022-4-16T16:52:33,2
15.332,15.284,15.249,15.159,15.154,15.14,15.146,15.137,B,2022-4-16T16:52:33,3
14.375,14.311,14.267,14.255,14.263,14.283,14.256,14.248,B,2022-4-16T16:52:33,4
